"id","part_of_speech","definition","answer"
"841","noun","oak","дуб"
"842","adv.","lazily","лениво"
"843","noun","whistle","свист"
"844","noun","technology (process)","технология"
"845","verb","doze","дремать"
"846","verb","excite","возбудить"
"847","noun","centenary","столетие"
"848","adj.","painful","болезненный"
"849","verb","spin (ongoing)","крутить"
"850","noun","guerrilla","партизан"
"851","noun","day off","выходной"
"852","adj.","day off","выходной"
"853","adj.","uncertain","неуверенный"
"854","verb","protect (once)","защитить"
"855","verb","be applicable","применяться"
"856","adj.","likable","симпатичный"
"857","noun","stranger","незнакомец"
"858","noun","infant","младенец"
"859","noun","appearance (form, aspect)","облик"
"860","noun","episode","эпизод"
"861","noun","subordinate","подчинённый"
"862","adj.","subordinate","подчинённый"
"863","noun","applicant","желающий"
"864","noun","oar","весло"
"865","noun","teacher (university)","преподаватель"
"866","noun","trash","мусор"
"867","verb","turn off","выключить"
"868","verb","recommend","рекомендовать"
"869","adj.","moral (values)","нравственный"
"870","noun","tribe","племя"
"871","verb","unbutton","расстегнуть"
"872","verb","show (provide)","оказывать"
"873","noun","approach","подход"
"874","verb","press (be pressing)","прижимать"
"875","verb","shoot (fire once)","выстрелить"
"876","noun","decrease","снижение"
"877","verb","ring","звенеть"
"878","noun","meadow","луг"
"879","adj.","rusty","ржавый"
"880","adv.","together (simultaneously)","заодно"
"881","noun","yak","як"
"882","verb","squeeze (once)","сжать"
"883","noun","Tonya","Тоня ??"
"884","verb","wink","подмигнуть"
"885","noun","volume (of a book)","том"
"886","noun","disc","диск"
"887","verb","roar","реветь"
"888","verb","sound (resound once)","прозвучать"
"889","verb","cuddle","прижаться"
"890","verb","manage others","управлять"
"891","noun","riddle","загадка"
"892","","this (archaic)","сей"
"893","verb","blow","дуть"
"894","noun","patient","пациент"
"895","verb","look sideways","покоситься"
"896","verb","moan","стонать"
"897","noun","hut","хата"
"898","noun","hustle","суета"
"899","verb","tremble (twitch)","дрогнуть"
"900","noun","shade","оттенок"
"901","noun","stay","пребывание"
"902","verb","admire","любоваться"
"903","noun","goose","гусь"
"904","verb","fly away","улететь"
"905","adj.","immortal","бессмертный"
"906","verb","sort","перебирать"
"907","noun","gasoline","бензин"
"908","verb","carry in, bring","занести"
"909","noun","invalid","инвалид"
"910","adj.","ominous (threatening)","зловещий"
"911","adj.","convinced","убеждённый"
"912","noun","dew","роса"
"913","noun","hook","крючок"
"914","adj.","sloping","косой"
"915","verb","compose, write","сочинять"
"916","noun","Veronica","Вероника ??"
"917","adj.","rubber","резиновый"
"918","noun","scream (wail)","вопль"
"919","verb","invest","вложить"
"920","verb","spit (continuously)","плевать"
"921","adj.","complex (complicated)","сложенный"
"922","verb","swim (bathe)","купаться"
"923","noun","action movie","боевик"
"924","","shall we","поди"
"925","noun","hearth","очаг"
"926","noun","captive","пленный"
"927","adj.","captive","пленный"
"928","noun","kids","ребятишки"
"929","verb","capture something","уловить"
"930","verb","penetrate (get in)","проникнуть"
"931","verb","survive (survive a disaster)","уцелеть"
"932","noun","conspiracy","заговор"
"933","verb","surrender (continuously)","сдаваться"
"934","noun","Christmas tree","ёлка"
"935","verb","move something","сдвинуть"
"936","noun","thunder","гром"
"937","noun","gust","порыв"
"938","verb","translate (ongoing)","переводить"
"939","verb","cling (sudden action)","вцепиться"
"940","noun","deception","обман"
"941","adv.","in detail","подробно"
"942","noun","contradiction","противоречие"
"943","noun","oil","нефть"
"944","noun","medicine (medical science)","медицина"
"945","adv.","aside","сбоку"
"946","adv.","full","полно"
"947","verb","print (once)","напечатать"
"948","verb","lead (manage)","руководить"
"949","adj.","prominent","видный"
"950","adv.","at all (not a bit)","нисколько"
"951","noun","earth lodge","землянка"
"952","noun","Frenchman","француз"
"953","adv.","frankly","откровенно"
"954","verb","be heard at distance","донестись"
"955","noun","zero (mathematical term)","нуль"
"956","noun","correspondence","соответствие"
"957","adj.","diverse","разнообразный"
"958","adj.","practical","практический"
"959","noun","cabbage","капуста"
"960","adj.","not bad","неплохой"
"961","adj.","delicious","вкусный"
"962","adv.","for free","бесплатно"
"963","adj.","free (no cost)","бесплатный"
"964","adj.","sovereign","верховный"
"965","verb","knock out","выбить"
"966","verb","hang (to stay suspended)","повиснуть"
"967","noun","darkness (intense darkness)","мрак"
"968","verb","inquire (formally)","осведомиться"
"969","verb","surround (ongoing)","окружать"
"970","noun","sapling","сук"
"971","noun","injury","травма"
"972","adj.","lawful","законный"
"973","verb","provide (offer)","предоставить"
"974","adj.","intelligent","интеллигентный"
"975","noun","reflection","отражение"
"976","noun","cauldron","котёл"
"977","adv.","independently","самостоятельно"
"978","adj.","independent (self-reliant)","самостоятельный"
"979","noun","amazement","изумление"
"980","noun","length","длина"
"981","noun","funerary","похороны"
"982","adj.","extensive","обширный"
"983","noun","resource","ресурс"
"984","noun","script","сценарий"
"985","verb","testify","свидетельствовать"
"986","noun","propaganda","пропаганда"
"987","adj.","lethal","смертельный"
"988","verb","pull out (continuously)","вытаскивать"
"989","noun","waiter","официант"
"990","noun","accusation","обвинение"
"991","noun","mayor","мэр"
"992","noun","schoolboy","школьник"
"993","noun","NKVD","НКВД"
"994","verb","cherish","беречь"
"995","verb","pray","молиться"
"996","noun","backpack","рюкзак"
"997","verb","manifest (appear)","проявляться"
"998","adj.","Stalinist","сталинский"
"999","noun","purchase","покупка"
"1000","noun","donkey","осёл"
