"no","part_of_speech","definition","answer"
"925","noun","рыба","fish"
"926","verb","добавить","add (completed action)"
"927","verb","удивиться","be surprised"
"928","noun","бабушка","grandmother"
"929","noun","вино","wine"
"930","","ибо","because (for)"
"931","noun","учитель","teacher"
"932","verb","действовать","act (general action)"
"933","adv.","осторожно","cautiously"
"934","noun","круг","circle"
"935","noun","папа","dad"
"936","adv.","правильно","correctly (right)"
"937","adv.","недавно","recently"
"938","verb","держаться","behave"
"939","adv.","причем","and"
"940","verb","лететь","fly (action)"
"941","verb","носить","wear"
"942","noun","повод","reason"
"943","noun","лагерь","camp"
"944","noun","птица","bird"
"945","noun","корабль","ship"
"946","noun","мнение","opinion"
"947","adj.","ночной","nightly"
"948","adj.","здоровый","healthy"
"949","noun","зима","winter"
"950","adj.","сухой","dry"
"951","noun","километр","kilometer"
"952","noun","кровать","bed"
"953","verb","привыкнуть","get used to (after some time)"
"954","","прочее","otherwise"
"955","adj.","свободный","free (liberated)"
"956","noun","лестница","stairs"
"957","","неужели","really"
"958","adv.","обязательно","necessarily"
"959","adv.","вверх","up"
"960","noun","детство","childhood"
"961","noun","остров","island"
"962","noun","статья","article"
"963","verb","позвонить","call by phone"
"964","adv.","столь","so (to such an extent)"
"965","verb","мешать","disturb"
"966","noun","водка","vodka"
"967","noun","темнота","darkness"
"968","verb","возникнуть","arise (one-time event)"
"969","adj.","способный","capable"
"970","noun","станция","station"
"971","verb","желать","wish (ongoing)"
"972","verb","попробовать","try (try once)"
"973","verb","получаться","work out"
"974","noun","гражданин","citizen"
"975","adv.","странно","strangely"
"976","adv.","вскоре","soon (shortly)"
"977","noun","команда","team"
"978","noun","заболевание","illness (medical condition)"
"979","noun","живот","stomach (belly, abdomen)"
"980","verb","ставить","put (be putting)"
"981","","ради","for the sake of"
"982","noun","тишина","silence"
"983","adv.","понятно","clear (understandable)"
"984","noun","фронт","front"
"985","noun","щека","cheek"
"986","adv.","страшно","scary"
"987","noun","район","district"
"988","adv.","наверно","probably (presumably)"
"989","verb","проводить","spend (conduct regularly)"
"990","noun","выражение","expression"
"991","adv.","слегка","slightly (a little)"
"992","noun","мешок","sack"
"993","verb","обещать","promise (ongoing)"
"994","adv.","дорого","expensive"
"995","adj.","дорогой","expensive"
"996","verb","судить","judge"
"997","noun","большинство","majority"
"998","verb","собраться","gather (oneself or things)"
"999","noun","управление","management"
"1000","verb","колоть","sting (once)"
