"no","part_of_speech","definition","answer"
"817","noun","солдатик","soldier (toy soldier)"
"818","adj.","тусклый","dull (not bright)"
"819","adv.","снаружи","outside (externally)"
"820","noun","паровоз","rattle"
"821","noun","интернет","internet"
"822","verb","посетить","visit formally"
"823","adj.","британский","British"
"824","verb","будить","arouse, wake up"
"825","verb","приказывать","command, mandate"
"826","noun","алкоголь","alcohol"
"827","noun","измерение","measurement"
"828","noun","актриса","actress"
"829","noun","размах","span"
"830","noun","призрак","ghost"
"831","verb","увеличить","enlarge"
"832","verb","ахнуть","gasp"
"833","adj.","лекарственный","medicinal"
"834","adj.","почетный","honorable"
"835","noun","математика","mathematics"
"836","verb","растерять","lose one's bearings"
"837","noun","собор","cathedral"
"838","noun","сыр","cheese"
"839","verb","навестить","visit someone"
"840","noun","соединение","connection"
"841","verb","воображать","imagine (in mind)"
"842","noun","самовар","samovar"
"843","adj.","незначительный","insignificant"
"844","adj.","окончательный","final (conclusive)"
"845","verb","вскакивать","jump up"
"846","noun","канифоль","rosin"
"847","verb","вынимать","extract (ongoing action)"
"848","adj.","зарубежный","foreign (overseas)"
"849","adv.","робко","timidly"
"850","verb","пересечь","cross (multiple times)"
"851","adj.","матёрый","cunning"
"852","noun","листва","foliage"
"853","noun","учёба","education (studying)"
"854","noun","кукла","doll"
"855","noun","предчувствие","premonition"
"856","noun","обморок","fainting"
"857","noun","развалина","ruin"
"858","adj.","священный","sacred"
"859","noun","терапия","therapy"
"860","verb","вскрикнуть","scream"
"861","noun","позор","shame (disgrace)"
"862","noun","конструкция","structure (architectural)"
"863","noun","концепция","concept"
"864","noun","особняк","mansion (detached house)"
"865","noun","весть","news (message)"
"866","verb","строиться","be built"
"867","noun","бабочка","butterfly"
"868","verb","опомниться","come to one's senses"
"869","verb","тыкать","poke (repeatedly)"
"870","verb","перебивать","interrupt (repeatedly)"
"871","adv.","вполголоса","in a low voice"
"872","noun","изделие","product (article)"
"873","noun","студия","studio"
"874","adj.","ленинский","Lenin's"
"875","noun","видение","vision (dream"
"876","noun","слюна","spit"
"877","verb","попрощаться","say goodbye (once)"
"878","verb","отменить","cancel"
"879","adj.","встречный","countering"
"880","verb","подавлять","suppress (ongoing)"
"881","noun","сложность","complexity"
"882","verb","выслать","send out"
"883","noun","землянин","earthling"
"884","noun","строение","construction (building)"
"885","verb","дежурить","be on duty"
"886","noun","скрипка","violin"
"887","verb","украсить","decorate"
"888","adj.","ложный","false"
"889","noun","бас","bass"
"890","noun","песенка","song (colloquial, small song)"
"891","noun","сани","sleigh"
"892","noun","редкость","rarity"
"893","noun","федерация","federation"
"894","noun","диагноз","diagnosis"
"895","noun","чудовище","monster (monster, beast)"
"896","verb","помчаться","rush away"
"897","noun","премьера","premiere"
"898","verb","разыскать","track down, find"
"899","verb","хоронить","bury (general term)"
"900","noun","букет","bouquet"
"901","verb","доставлять","deliver (ongoing action)"
"902","verb","выпрямиться","straighten up"
"903","verb","придать","give a quality"
"904","adj.","хорошенький","pretty"
"905","adj.","боковой","lateral"
"906","noun","кредит","credit"
"907","noun","эшелон","train (military)"
"908","verb","поздравлять","congratulate"
"909","noun","староста","elder"
"910","noun","нетерпение","impatience"
"911","verb","помахать","wave (wave goodbye)"
"912","noun","кодекс","code"
"913","noun","копьё","spear"
"914","noun","матч","match (sport)"
"915","verb","выбежать","run out"
"916","verb","поддаваться","yield, succumb"
"917","verb","вскинуть","raise"
"918","noun","зажигалка","lighter"
"919","adj.","тюремный","prison"
"920","noun","акцент","accent"
"921","adj.","лиловый","lilac"
"922","noun","вероятность","probability"
"923","adv.","плавно","smoothly (flowing)"
"924","noun","призыв","call-up"
"925","verb","утонуть","drown"
"926","verb","уничтожать","keep destroying"
"927","adj.","крупнейший","largest"
"928","noun","щенок","puppy"
"929","verb","выхватить","snatch swiftly (once)"
"930","noun","тигр","tiger"
"931","noun","претензия","claim"
"932","noun","распространение","distribution"
"933","noun","обувь","footwear"
"934","verb","влюбиться","fall in love (ongoing)"
"935","noun","аргумент","argument"
"936","verb","норовить","strive (repeatedly)"
"937","noun","полотно","canvas"
"938","noun","пропуск","pass"
"939","noun","смола","resin"
"940","adv.","недовольно","dissatisfied"
"941","noun","стоянка","parking lot"
"942","verb","содержаться","be contained"
"943","","вследствие","due to"
"944","noun","тупик","dead end"
"945","noun","овощ","vegetable"
"946","verb","отрываться","detach"
"947","noun","микрофон","microphone"
"948","adj.","пышный","luxurious (lavish)"
"949","noun","стадия","stage (of a process)"
"950","verb","перебраться","cross over"
"951","verb","создаваться","be created"
"952","adj.","машинальный","mechanical (automatic)"
"953","noun","лёгкость","ease"
"954","noun","молот","hammer"
"955","adv.","скромно","modestly"
"956","noun","верхушка","top (tip)"
"957","noun","око","eye (old-fashioned or poetic)"
"958","","вопреки","against (despite)"
"959","noun","национальность","nationality"
"960","noun","платформа","platform (train platform)"
"961","noun","верста","verst"
"962","noun","подружка","girlfriend (more informal)"
"963","noun","практик","practitioner"
"964","adj.","ограниченный","limited"
"965","verb","оглядывать","look around (habitually)"
"966","noun","взятка","bribe"
"967","noun","гусеница","caterpillar"
"968","noun","объятие","embrace"
"969","noun","отставка","resignation"
"970","","ихний","their"
"971","adv.","чересчур","excessively"
"972","adj.","оригинальный","original"
"973","noun","рельс","rail"
"974","noun","рыбка","fish (small)"
"975","noun","игрок","player"
"976","verb","вить","twist"
"977","","ура","hurray"
"978","noun","шорох","rustle"
"979","noun","новичок","newcomer"
"980","noun","парнишка","little fellow"
"981","noun","скотина","brute"
"982","noun","поручение","assignment"
"983","verb","сослаться","refer"
"984","noun","премьер","prime minister"
"985","verb","добывать","obtain (continually)"
"986","noun","рывок","lunge"
"987","verb","заканчиваться","end (be ending continuously)"
"988","adj.","женатый","married"
"989","noun","сопка","hill (small)"
"990","noun","торговец","merchant (trader, dealer)"
"991","noun","эфир","ether"
"992","verb","шевелить","move a body part"
"993","adj.","присутствующий","present (at hand)"
"994","verb","связаться","get in touch"
"995","verb","завязать","tie (tie a knot)"
"996","noun","приезжий","visitor (guest)"
"997","adj.","приезжий","visitor"
"998","noun","строитель","builder"
"999","verb","разложить","unfold (spread out)"
"1000","noun","знакомый","acquaintance"
